"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 08:29:44 MSK 2024","Mon Feb 19 08:29:49 MSK 2024","4484","","tests.LoginModelTest","","tests.LoginModelTest","authLoginBestLombokTest","authLoginBestLombokTest()",""
"passed","Mon Feb 19 08:29:57 MSK 2024","Mon Feb 19 08:30:02 MSK 2024","5356","","tests.LoginModelTest","","tests.LoginModelTest","authLoginAllureTest","authLoginAllureTest()",""
